Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
Banker,Finance,Decreasing,Low,98775.71,High School,10,4392,2111,3.45,64.65,China,32.24
Quantity surveyor,Manufacturing,Increasing,Low,39917.38,Master’s Degree,11,2959,2340,82.55,35.69,UK,21.78
Sales executive,Transportation,Increasing,High,45417.34,Master’s Degree,20,4658,4119,1.28,70.34,India,23.79
Agricultural consultant,Entertainment,Increasing,High,142823.89,Associate Degree,14,2487,404,54.08,23.45,Australia,72.54
Psychiatrist,Healthcare,Decreasing,Moderate,111813.64,High School,6,7920,7844,46.05,74.58,Canada,45.59
Quality manager,Education,Decreasing,Low,73586.89,PhD,17,8630,5485,48.52,82.36,Canada,32.2
"Accountant, chartered public finance",Transportation,Decreasing,Moderate,87462.77,Master’s Degree,17,9076,1575,53.47,23.82,Germany,30.52
Chiropractor,Transportation,Increasing,Moderate,62833.01,High School,18,3626,1354,5.64,42.64,Canada,41.76
Forest/woodland manager,Manufacturing,Decreasing,Moderate,45388.62,PhD,4,532,1030,32.51,37.06,Germany,46.81
Neurosurgeon,Finance,Increasing,Moderate,141250.02,Master’s Degree,11,788,366,94.78,53.74,Brazil,20.64
Trading standards officer,Education,Decreasing,Low,127884.14,Associate Degree,2,7820,350,50.98,42.26,UK,38.36
Chief of Staff,Retail,Decreasing,Moderate,108098.75,Master’s Degree,6,6971,3518,32.74,0.27,USA,51.85
Quantity surveyor,Healthcare,Decreasing,Moderate,149634.2,Associate Degree,2,1839,3324,14.85,96.93,USA,20.96
Arts development officer,Healthcare,Decreasing,Low,50024.52,PhD,2,1936,2598,87.73,26.12,India,47.52
Waste management officer,Transportation,Increasing,Low,89258.13,Associate Degree,3,6204,3098,62.32,67.88,Canada,20.91
Hydrographic surveyor,Entertainment,Decreasing,Moderate,66203.36,PhD,19,9592,2394,63.07,89.87,Canada,42.51
Bonds trader,Education,Decreasing,Low,138381.46,Bachelor’s Degree,13,6388,103,36.65,35.5,Australia,28.41
Health service manager,IT,Increasing,Moderate,100244.08,PhD,0,6328,4938,97.38,1.84,Brazil,40.0
Geophysicist/field seismologist,Education,Increasing,High,68631.02,Associate Degree,2,7301,3766,71.77,2.28,USA,55.6
Energy engineer,Entertainment,Decreasing,High,44746.34,PhD,4,5198,6551,65.21,73.97,Germany,31.98
"Engineer, control and instrumentation",Transportation,Increasing,Low,126246.94,High School,15,9605,819,56.92,34.11,Brazil,69.58
"Psychologist, prison and probation services",Manufacturing,Increasing,Low,122618.21,Associate Degree,14,1236,2298,6.23,16.0,Canada,30.44
Insurance broker,Transportation,Increasing,Low,141617.51,High School,15,1847,567,48.05,5.26,UK,76.19
"Accountant, chartered certified",Finance,Decreasing,Low,104464.36,High School,20,857,6610,84.35,49.12,Brazil,21.13
Plant breeder/geneticist,Transportation,Increasing,High,84065.31,Bachelor’s Degree,4,9323,709,61.48,95.67,Australia,53.59
"Engineer, building services",Transportation,Increasing,Low,129434.68,Bachelor’s Degree,2,2372,4005,88.96,4.46,Australia,23.08
Catering manager,IT,Increasing,Low,77924.76,Master’s Degree,15,2306,9464,13.65,86.66,Canada,57.14
"Administrator, sports",Healthcare,Decreasing,High,96456.68,Master’s Degree,16,974,8909,18.38,35.04,Canada,70.97
"Engineer, civil (consulting)",Manufacturing,Increasing,Moderate,67235.48,Bachelor’s Degree,2,3665,4376,50.17,99.45,India,58.01
"Horticulturist, commercial",Retail,Decreasing,Low,76105.0,Associate Degree,20,3716,4212,1.49,58.68,Australia,57.53
Pension scheme manager,Entertainment,Increasing,High,143384.21,Bachelor’s Degree,16,6167,5885,71.99,97.74,Canada,75.83
Curator,Healthcare,Decreasing,High,132930.58,Bachelor’s Degree,15,7873,5260,18.49,10.46,China,27.06
Physiological scientist,IT,Decreasing,Moderate,33514.6,High School,10,7776,4299,99.93,37.69,Brazil,36.91
Television/film/video producer,Manufacturing,Increasing,Moderate,79897.37,High School,10,9889,8440,43.24,72.01,USA,39.74
"Conservation officer, historic buildings",Entertainment,Decreasing,High,69838.63,Associate Degree,12,7948,5378,77.83,43.3,China,53.01
Chief of Staff,Finance,Increasing,Moderate,133583.23,High School,11,6887,9913,9.9,87.87,USA,43.46
Air traffic controller,Healthcare,Decreasing,High,133087.04,PhD,0,207,3320,64.07,19.58,USA,64.58
"Engineer, chemical",Education,Increasing,Low,143026.73,Master’s Degree,1,9524,5155,81.77,59.67,UK,31.74
Brewing technologist,Entertainment,Increasing,Moderate,78650.85,PhD,3,8818,7503,12.17,78.37,USA,28.49
"Clinical scientist, histocompatibility and immunogenetics",Transportation,Decreasing,Moderate,105010.46,High School,2,5099,9254,54.12,89.2,UK,69.04
Midwife,Healthcare,Decreasing,Low,45152.78,Master’s Degree,10,9921,6518,19.35,12.67,India,78.16
"Therapist, sports",Finance,Decreasing,Low,71885.68,Associate Degree,1,3601,6147,56.18,72.79,India,24.39
"Therapist, nutritional",Manufacturing,Increasing,Low,92600.42,High School,6,7390,6346,18.31,73.6,UK,46.81
"Psychologist, sport and exercise",Manufacturing,Decreasing,High,50543.84,Master’s Degree,17,881,4153,92.45,64.57,UK,66.1
"Biochemist, clinical",Manufacturing,Decreasing,Low,121884.66,Bachelor’s Degree,16,3193,5740,29.79,70.68,USA,24.91
Exhibition designer,Transportation,Increasing,Low,50951.45,Master’s Degree,3,7322,3582,61.33,67.52,Germany,72.19
Psychiatric nurse,Education,Decreasing,Moderate,87764.26,Master’s Degree,18,2058,9014,5.09,79.24,Brazil,31.89
Data scientist,Education,Decreasing,Moderate,87180.18,Associate Degree,20,6264,5747,94.59,50.8,India,74.85
Insurance risk surveyor,IT,Increasing,Low,108029.33,High School,9,7310,7396,88.96,91.4,USA,51.91
"Nurse, learning disability",Healthcare,Increasing,Moderate,129696.25,Master’s Degree,14,825,5675,70.41,94.7,UK,30.5
Drilling engineer,Healthcare,Decreasing,High,36334.57,PhD,20,1186,812,60.28,38.14,Australia,21.84
Consulting civil engineer,IT,Decreasing,Low,67993.95,High School,12,4111,442,1.89,66.71,Germany,24.11
Community development worker,Finance,Increasing,High,117780.04,Associate Degree,19,1797,6532,1.59,16.95,China,57.21
"Pharmacist, community",Education,Decreasing,High,79761.3,Master’s Degree,19,8439,1518,0.09,7.42,Brazil,57.08
Educational psychologist,Retail,Increasing,High,59388.17,Bachelor’s Degree,8,5220,3472,99.16,40.18,Canada,61.68
"Solicitor, Scotland",IT,Increasing,High,117982.52,Associate Degree,8,8394,8632,26.17,72.76,Australia,75.27
Physiotherapist,Manufacturing,Decreasing,Low,72117.44,Bachelor’s Degree,5,4010,729,76.41,12.69,Canada,47.31
Commercial horticulturist,Healthcare,Decreasing,Moderate,61124.58,Bachelor’s Degree,14,5951,3952,72.96,55.73,Germany,31.86
Local government officer,Finance,Decreasing,Moderate,122537.99,Master’s Degree,14,3632,3198,72.28,0.44,UK,59.07
Commercial/residential surveyor,Manufacturing,Increasing,Low,70039.03,PhD,4,7776,2211,38.12,14.21,Germany,62.26
IT sales professional,Entertainment,Decreasing,High,78931.24,Associate Degree,5,5577,5690,36.85,16.56,Germany,78.59
Planning and development surveyor,Entertainment,Increasing,High,76314.57,Master’s Degree,8,5451,6424,16.62,39.14,Australia,37.35
Marketing executive,Healthcare,Increasing,High,100923.74,High School,14,4841,6672,44.35,39.03,China,51.95
Broadcast engineer,Manufacturing,Decreasing,Moderate,132251.78,Master’s Degree,19,4982,9982,33.26,13.12,UK,29.39
Private music teacher,Education,Increasing,Moderate,106495.2,Associate Degree,10,6256,7338,74.34,57.87,Germany,75.2
"Research officer, political party",Finance,Increasing,Low,51209.29,Associate Degree,18,9115,6276,55.72,0.91,India,61.2
Sports development officer,Entertainment,Decreasing,Low,134136.86,Associate Degree,15,3627,7341,5.69,26.28,Brazil,56.2
Environmental health practitioner,Manufacturing,Increasing,High,144024.32,Master’s Degree,5,6208,8595,95.67,88.67,Canada,77.75
"Sound technician, broadcasting/film/video",Education,Increasing,High,131638.79,Bachelor’s Degree,10,8108,2609,29.48,72.67,Canada,72.92
"Runner, broadcasting/film/video",Education,Increasing,Low,131239.88,High School,6,6162,6911,77.3,5.03,UK,44.69
"Administrator, sports",IT,Decreasing,Low,144145.02,PhD,3,5865,4332,1.4,80.9,China,29.27
Freight forwarder,Manufacturing,Decreasing,Low,100832.13,High School,9,1195,9582,32.06,22.51,Canada,41.93
Research scientist (maths),Retail,Decreasing,High,57698.88,Master’s Degree,14,6651,8486,60.58,10.76,India,79.72
Cabin crew,Manufacturing,Decreasing,Moderate,97153.62,Associate Degree,14,1405,3967,45.51,70.68,Germany,79.85
Fish farm manager,IT,Decreasing,Moderate,83283.63,Bachelor’s Degree,13,9290,5641,59.31,66.59,UK,43.78
Camera operator,Manufacturing,Increasing,Low,107889.8,Master’s Degree,12,6703,6683,1.63,24.46,UK,52.99
"Surveyor, building control",Retail,Decreasing,High,115887.09,PhD,18,1270,3905,7.05,32.85,China,63.79
Haematologist,Education,Increasing,Low,87262.33,Master’s Degree,17,9578,875,98.23,56.4,UK,72.66
Research scientist (maths),Education,Increasing,Moderate,96758.96,Associate Degree,17,6806,6998,45.49,58.63,Brazil,70.3
Stage manager,IT,Decreasing,High,31650.21,Associate Degree,4,3015,8526,25.92,87.7,Germany,21.29
"Psychologist, forensic",Retail,Increasing,High,78730.99,Associate Degree,16,3845,3754,79.85,89.83,USA,75.68
Theatre director,Transportation,Decreasing,Moderate,69913.52,Master’s Degree,12,6842,4671,99.65,94.78,Brazil,76.66
Forest/woodland manager,Entertainment,Increasing,Moderate,35772.21,Associate Degree,2,4850,6628,70.66,33.64,Australia,37.21
"Psychologist, prison and probation services",Retail,Decreasing,High,108528.72,PhD,9,6196,7005,14.43,45.72,Brazil,46.15
Passenger transport manager,IT,Increasing,Moderate,53333.03,High School,15,1164,3496,16.18,51.9,USA,24.66
"Geologist, wellsite",Manufacturing,Increasing,Low,78601.84,Associate Degree,17,7658,5811,59.33,61.06,India,60.11
Chief Technology Officer,Finance,Increasing,Moderate,63603.18,Master’s Degree,1,8397,6070,61.03,27.61,Australia,78.92
Commercial art gallery manager,Education,Increasing,High,66513.14,Master’s Degree,15,5614,2843,1.7,79.79,China,27.24
"Designer, jewellery",Healthcare,Decreasing,Low,104916.62,Associate Degree,4,8421,4016,69.08,58.52,Australia,29.14
Youth worker,Finance,Decreasing,Moderate,81188.15,High School,6,4849,7141,7.45,42.42,India,56.83
Medical physicist,Retail,Decreasing,Moderate,78247.07,PhD,16,8714,8474,32.86,21.45,UK,58.04
Police officer,IT,Increasing,Low,65753.05,Associate Degree,4,5822,1813,32.42,55.34,India,70.4
Fast food restaurant manager,Transportation,Decreasing,Low,101062.81,Master’s Degree,10,7574,6385,42.52,36.85,Brazil,38.86
"Nurse, adult",IT,Increasing,Moderate,71002.28,Bachelor’s Degree,12,513,293,22.96,42.06,Australia,63.13
Geoscientist,Healthcare,Decreasing,Low,90545.87,Associate Degree,4,3987,2652,89.05,73.95,Germany,49.72
Agricultural engineer,Transportation,Increasing,Low,43284.64,Bachelor’s Degree,9,8427,9537,16.04,47.77,UK,38.01
Product/process development scientist,Finance,Decreasing,Moderate,107403.02,High School,15,6555,709,41.3,75.93,UK,34.26
Clinical molecular geneticist,Retail,Increasing,Low,106990.23,Bachelor’s Degree,4,2951,3634,65.24,81.4,Canada,41.74
Animal technologist,Entertainment,Decreasing,High,83623.12,Associate Degree,13,7039,1766,47.53,22.66,UK,60.52
"Sales professional, IT",IT,Decreasing,High,77950.47,High School,8,8896,4723,31.81,27.12,China,58.28
"Research officer, government",Entertainment,Decreasing,Moderate,77201.38,Bachelor’s Degree,7,7584,4769,5.24,98.4,USA,51.98
Estate agent,Finance,Decreasing,Low,92384.62,Master’s Degree,6,2492,3464,89.05,35.25,USA,21.39
Furniture designer,IT,Decreasing,Moderate,110702.54,Bachelor’s Degree,2,6641,8113,65.8,32.69,USA,38.21
Location manager,Transportation,Decreasing,High,54872.24,Associate Degree,18,2385,5817,99.33,96.29,Germany,62.06
"Therapist, occupational",Manufacturing,Increasing,Low,117893.44,Master’s Degree,5,9342,6010,39.79,27.78,China,33.04
Fast food restaurant manager,Finance,Increasing,Low,118038.35,High School,3,3237,2069,70.2,70.22,Brazil,64.13
Manufacturing engineer,Transportation,Increasing,Low,37663.99,Master’s Degree,13,606,8391,6.02,78.11,Germany,48.01
Professor Emeritus,Entertainment,Decreasing,Moderate,60395.01,Associate Degree,8,7818,1683,64.15,4.93,Germany,57.22
"Engineer, manufacturing",Manufacturing,Increasing,Low,78213.31,PhD,8,9520,5795,91.28,33.28,UK,46.23
Medical sales representative,Transportation,Decreasing,Low,143057.6,High School,8,7480,3406,90.87,61.88,USA,34.78
Musician,Finance,Decreasing,Low,120502.99,High School,11,4547,1663,18.43,62.82,India,36.03
"Psychologist, prison and probation services",Healthcare,Increasing,High,70223.14,Master’s Degree,4,8519,171,30.27,20.74,China,63.51
"Psychologist, clinical",Manufacturing,Decreasing,High,90022.39,Bachelor’s Degree,8,8727,5842,59.28,47.22,USA,26.98
TEFL teacher,Entertainment,Increasing,Moderate,118944.32,High School,9,500,7528,47.11,74.05,USA,58.02
Chartered loss adjuster,Entertainment,Decreasing,Low,98657.35,PhD,20,9215,8197,33.14,49.86,Germany,20.6
Conference centre manager,Transportation,Increasing,Low,80600.59,Bachelor’s Degree,12,1801,4216,20.91,27.46,Canada,79.33
Freight forwarder,Retail,Decreasing,Moderate,78253.57,Bachelor’s Degree,2,10000,3596,52.04,60.07,UK,38.6
Furniture designer,Manufacturing,Increasing,Moderate,135539.51,Associate Degree,18,2221,5645,82.93,21.49,China,49.14
"Programmer, systems",Retail,Decreasing,High,143586.59,Master’s Degree,7,7498,6203,12.5,5.5,Australia,69.56
"Engineer, control and instrumentation",Education,Decreasing,High,135058.44,Associate Degree,14,5794,9289,61.41,25.57,USA,24.2
Fisheries officer,Manufacturing,Increasing,Low,115056.76,PhD,0,6402,9833,12.13,11.18,Australia,59.02
Systems analyst,IT,Increasing,Moderate,120030.23,Master’s Degree,2,993,198,52.14,18.92,UK,59.57
Financial manager,Entertainment,Decreasing,Moderate,135630.11,Master’s Degree,10,3611,6872,53.83,57.89,India,26.95
"Physicist, medical",Entertainment,Increasing,Moderate,91329.04,Associate Degree,13,8334,868,82.86,28.79,Brazil,70.95
Community development worker,Retail,Decreasing,Moderate,149025.49,Bachelor’s Degree,7,4776,9708,98.7,42.85,Brazil,23.72
Medical physicist,IT,Decreasing,Low,45432.29,PhD,14,6204,3001,36.07,32.81,UK,27.93
Production engineer,Healthcare,Increasing,High,70577.29,High School,2,7082,9978,73.43,60.61,China,38.73
Musician,Healthcare,Increasing,High,132184.22,Bachelor’s Degree,11,2547,1517,66.37,12.39,Brazil,28.56
Translator,Transportation,Increasing,High,142237.77,Bachelor’s Degree,0,2734,5533,22.16,4.13,Canada,46.85
"Scientist, research (medical)",IT,Increasing,High,55610.68,Master’s Degree,16,7126,5890,45.71,89.71,India,51.58
"Merchandiser, retail",Manufacturing,Decreasing,Low,87583.75,Associate Degree,1,7244,2103,46.95,87.41,China,35.9
Chartered public finance accountant,Education,Decreasing,Moderate,133364.66,Master’s Degree,2,8244,4364,28.24,91.34,USA,71.15
Heritage manager,Healthcare,Increasing,High,45321.12,High School,5,697,4329,6.09,25.09,India,37.3
Textile designer,Entertainment,Decreasing,Low,118824.54,Associate Degree,9,2257,1823,16.76,65.86,Brazil,20.55
Ceramics designer,Entertainment,Increasing,High,85907.05,Associate Degree,16,5448,9898,46.49,6.31,Canada,30.26
Politician's assistant,Retail,Increasing,Moderate,125384.54,Bachelor’s Degree,8,8166,7568,56.8,90.02,Australia,72.92
IT technical support officer,Manufacturing,Decreasing,Moderate,41504.8,Bachelor’s Degree,10,4618,9933,54.9,71.26,India,38.4
Haematologist,Entertainment,Increasing,High,36282.26,Associate Degree,8,6474,1352,0.84,45.22,India,64.82
Statistician,Finance,Increasing,High,52381.93,Master’s Degree,6,8821,4115,88.48,11.81,India,38.22
"Accountant, chartered public finance",Manufacturing,Decreasing,High,31638.2,Master’s Degree,14,5718,1803,35.38,30.78,UK,65.66
Education administrator,Transportation,Increasing,Moderate,54666.82,High School,18,3467,3998,86.26,19.26,Canada,33.94
Software engineer,Manufacturing,Increasing,High,94720.17,Master’s Degree,9,2434,128,80.44,90.18,China,70.92
"Surveyor, insurance",Education,Decreasing,Moderate,113947.39,Master’s Degree,0,5118,9009,32.17,35.14,Brazil,77.03
"Conservation officer, nature",Transportation,Increasing,Low,58725.62,High School,13,8407,4918,15.49,51.49,India,25.01
"Producer, radio",Healthcare,Increasing,Moderate,119025.15,PhD,3,1607,7995,70.26,10.82,UK,72.29
Art gallery manager,Education,Decreasing,Low,117117.82,PhD,2,4256,8747,51.11,35.35,India,61.77
Conference centre manager,IT,Increasing,Moderate,74428.93,Bachelor’s Degree,18,6392,7088,92.16,4.66,USA,79.84
"Engineer, biomedical",Entertainment,Decreasing,High,111060.22,Bachelor’s Degree,17,1104,2848,23.37,46.81,Germany,71.1
"Research officer, trade union",Entertainment,Decreasing,High,102244.14,Master’s Degree,6,8045,9481,79.42,23.46,UK,40.17
Patent attorney,Finance,Decreasing,High,139084.93,High School,1,3943,2135,1.31,48.73,UK,54.46
Set designer,IT,Increasing,Moderate,102012.28,Bachelor’s Degree,8,1710,6461,99.69,78.06,Australia,64.98
Hospital pharmacist,Manufacturing,Increasing,Moderate,77490.47,Master’s Degree,4,7469,5766,76.45,18.42,UK,76.56
Insurance broker,Entertainment,Decreasing,Low,71313.77,Master’s Degree,9,3788,2150,61.97,89.98,Australia,54.07
"Pilot, airline",IT,Increasing,Low,104082.45,Bachelor’s Degree,15,9398,391,33.65,0.56,India,59.98
"Editor, commissioning",Entertainment,Decreasing,High,47837.56,Associate Degree,3,4492,1368,26.9,69.34,UK,34.84
Dentist,Manufacturing,Increasing,High,45699.35,PhD,5,2748,939,78.38,94.72,UK,79.38
Fitness centre manager,Education,Increasing,Moderate,100094.1,PhD,13,4882,6302,44.96,88.27,India,20.68
Printmaker,Retail,Increasing,High,76724.34,Bachelor’s Degree,19,5650,7764,80.87,73.03,Australia,43.28
Mining engineer,Transportation,Increasing,High,90963.58,High School,18,3823,5312,55.29,13.5,India,58.42
Orthoptist,Retail,Decreasing,Low,67202.8,Bachelor’s Degree,16,8566,4718,55.57,9.97,India,33.34
Product designer,IT,Increasing,Moderate,66807.54,High School,12,9226,8874,33.26,15.68,Germany,52.49
Writer,Retail,Decreasing,Low,33248.86,High School,15,1912,2793,34.18,36.0,UK,71.13
Public relations account executive,Transportation,Increasing,Moderate,100067.18,High School,12,6148,2071,43.2,7.5,Canada,43.01
"Surveyor, rural practice",Entertainment,Decreasing,Moderate,84134.38,Master’s Degree,9,8974,871,27.53,90.08,Canada,64.13
Neurosurgeon,Finance,Decreasing,Moderate,103809.71,High School,11,2065,5986,42.27,43.69,UK,62.1
Engineering geologist,Retail,Increasing,Moderate,71844.38,Bachelor’s Degree,20,7664,2701,9.06,18.44,UK,33.82
